seed,pv_kw,battery_kwh,hours,load_kwh,pv_kwh,grid_import_kwh,grid_peak_kw,export_kwh,curtailed_kwh,fuel_liters,unserved_critical_kwh,shed_noncritical_kwh,outage_critical_served_fraction,energy_cost,demand_cost,export_credit,fuel_cost,operating_cost,co2_kg,initial_stored_kwh,final_stored_kwh,battery_loss_kwh,max_balance_error_kw
44,25,0,168,3745.0035335853,1102.6921405110954,2747.6596930786254,43.95590864170589,105.34830000442125,0.0,0.0,0.0,0.0,,500.25163484240227,351.6472691336471,4.21393200017685,0.0,847.6849719758725,1044.1106833698777,0.0,0.0,0.0,0.0
44,25,50,168,3745.0035335853,1102.6921405110954,2652.5828523246355,43.95590864170589,0.0,0.0,0.0,0.0,0.0,,472.67935102374514,351.6472691336471,0.0,0.0,824.3266201573922,1007.9814838833615,10.0,10.0,10.271459250431072,0.0
44,25,100,168,3745.0035335853,1102.6921405110954,2652.5828523246355,43.95590864170589,0.0,0.0,0.0,0.0,0.0,,472.67935102374514,351.6472691336471,0.0,0.0,824.3266201573922,1007.9814838833615,20.0,20.0,10.271459250431072,0.0
44,25,150,168,3745.0035335853,1102.6921405110954,2652.5828523246355,43.95590864170589,0.0,0.0,0.0,0.0,0.0,,472.67935102374514,351.6472691336471,0.0,0.0,824.3266201573922,1007.9814838833615,30.0,30.0,10.27145925043107,0.0
44,55,0,168,3745.0035335853,2425.92270912441,2400.5454972436355,43.95590864170589,696.4617542672978,385.00291851544796,0.0,0.0,0.0,,440.8869059914887,351.6472691336471,27.858470170691913,0.0,764.6757049544439,912.2072889525815,0.0,0.0,0.0,3.552713678800501e-15
44,55,50,168,3745.0035335853,2425.92270912441,2134.5454972436355,43.95590864170589,475.42465553538915,311.3031751420934,0.0,0.0,0.0,,363.7469059914888,351.6472691336471,19.016986221415568,0.0,696.3771889037204,811.1272889525815,10.0,10.0,28.736842105263154,7.105427357601002e-15
44,55,100,168,3745.0035335853,2425.92270912441,1870.350410544214,41.32535112591869,323.1524098969302,170.83848260944814,0.0,0.0,0.0,,287.13033084865646,330.6028090073495,12.926096395877208,0.0,604.8070434601287,710.7331560068013,20.0,20.0,57.27869357694583,7.105427357601002e-15
44,55,150,168,3745.0035335853,2425.92270912441,1703.2847449971864,41.32535112591869,233.2514296570552,68.36855761787558,0.0,0.0,0.0,,238.68128784001846,330.6028090073495,9.33005718628221,0.0,559.9540396610856,647.2482030989308,30.0,36.893764657214476,75.69016860415122,7.105427357601002e-15
44,85,0,168,3745.0035335853,3749.153277737725,2285.7889229508087,43.95590864170589,892.0621753735481,1397.8764917296853,0.0,0.0,0.0,,418.2310014797629,351.6472691336471,35.68248701494193,0.0,734.1957835984681,868.5997907213073,0.0,0.0,0.0,0.0
44,85,50,168,3745.0035335853,3749.153277737725,2019.7889229508087,43.1637308027741,721.6422527429349,1273.5595722550352,0.0,0.0,0.0,,341.09100147976295,345.3098464221928,28.8656901097174,0.0,657.5351577922384,767.5197907213073,10.0,10.0,28.736842105263154,7.105427357601002e-15
